Log file created at Sun Feb  2 13:19:36 2025
MENU: Menu principal.
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Q pressee
MOUVEMENT: Z pressee
MOUVEMENT: Q pressee
MOUVEMENT: Z pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: S pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
MOUVEMENT: Q pressee
JEU: Sortie while jeu()
